event_name,event_date_start,event_date_end,next_edition_expected,venue,city,state,organiser,organiser_website,website_url,registration_url,description,target_audience,event_type,frequency,recurring,ticket_price_range_aud,expected_attendance,exhibitor_count,sector_tags,notes,source_url,notion_page_url
"Australian Energy Producers Conference & Exhibition","2027-05-17","2027-05-20",,,"Perth","WA","Australian Energy Producers","https://energyproducers.au","https://energyproducers.au/https/energyproducers.au/events-and-conferences/annual-conference-and-exhibition",,"Australia's flagship oil and gas event, gathering 2,000+ delegates including global industry leaders, investors and government to set the sector's agenda. Its exhibition and sponsorship programme is the premium route to senior upstream buyers in the Australian market.","Oil and gas industry heads, government decision makers, customers, investors and trading partners","conference_with_expo","annual",true,,2000,,"Energy","Formerly the APPEA Conference. 2027 edition confirmed for 17-20 May in Perth; attendance figure (2,000+ delegates) from the official site.","https://energyproducers.au/https/energyproducers.au/events-and-conferences/annual-conference-and-exhibition","https://app.notion.com/p/53545031b8a549fd9c43d24c44736480"
"Australian Energy Week","2027-06-21","2027-06-24",,"Melbourne Convention & Exhibition Centre","Melbourne","VIC","Quest Events","https://www.questevents.com.au","https://www.energyweek.com.au/","https://www.energyweek.com.au/","The Australian energy sector's flagship multi-stream conference week, covering grid, retail, generation and transition strategy with a supporting exhibition at MCEC. Its concentration of utility and energy-market decision makers suits vendors selling into the sector's commercial and operational buyers.","Energy retailers, generators, network operators, regulators and policy leaders","conference_with_expo","annual",true,,,,"Energy","2026 edition ran 9-12 June at MCEC; 2027 dates (21-24 June) confirmed on the official site. Quest Events also ran fintech/banking events captured in Run 001.","https://www.energyweek.com.au/","https://app.notion.com/p/7d61b5d64ce440268d1835c029df0847"
"Australian Healthcare Week","2027-03-17","2027-03-18",,"ICC Sydney","Sydney","NSW","IQPC Australia","https://www.iqpc.com","https://www.australianhealthcareweek.com/events-austhealthweek","https://www.australianhealthcareweek.com/events-austhealthweek/register-free-expo-pass","The biggest healthcare exhibition in the southern hemisphere, running for over 15 years and drawing 10,000+ attendees across the full health ecosystem. The free-to-attend expo puts vendors in front of hospital, government and aged care decision-makers, with dedicated zones spanning digital health, diagnostics, infrastructure and workforce. A proven, high-volume floor for both international entrants and scaling locals.","Hospital executives, clinicians, digital health leaders, aged care providers, government and procurement teams","conference_with_expo","annual",true,"0 (free expo pass); paid conference passes available",10000,,"MedTech","2026 edition (11-12 Mar) has passed; 2027 confirmed for 17-18 Mar at ICC Sydney, co-located with the Healthcare 2040 Expo. New for 2027: Investor Zone and Future of Diagnostics Zone. Attendance figure is the organiser's published claim.","https://www.australianhealthcareweek.com/events-austhealthweek","https://app.notion.com/p/4d9351cdea0e40b481d67eef23a7387d"
"Australian International Education Conference (AIEC)","2026-10-27","2026-10-30",,,"Sydney","NSW","IDP Education and the International Education Association of Australia (IEAA)","https://ieaa.org.au","https://aiec.idp.com/","https://aiec.idp.com/registration","The premier forum for Australia's international education sector, celebrating its 40th anniversary in Sydney with four days of programme, exhibition and networking. The key event for edtech, student-services and recruitment vendors targeting institutional buyers.","University and education-provider leaders, government, agents and international education service providers","conference_with_expo","annual",true,,1600,,"Education","Attendance figure (1,600+ delegates) from the event's official channels. Early bird registration closes 18 September 2026.","https://aiec.idp.com/","https://app.notion.com/p/7e1195028a7e4d8d85f576646d66d808"
"Australian International Furniture Fair (AIFF)","2026-07-15","2026-07-17",,"Melbourne Convention and Exhibition Centre","Melbourne","VIC","Informa Australia","https://www.informa.com.au","https://aiff.net.au/","https://tickets.lup.com.au/decor-design-green-design-2026?cat=cat-aiff&s=aiff-2026","Australia's largest furniture trade show - a three-day, trade-only buying and networking event connecting retail chains, online retailers, independents and commercial buyers with 200+ furniture exhibitors. 2026 theme: Alchemy.","Furniture retail chains, online retailers, independent furniture retailers, commercial/project buyers and interior designers","trade_exhibition","annual",true,"Free trade registration (trade-only event)",10000,200,"Retail, Wholesale","Co-located with Decor + Design (already tracked separately in this database) at MCEC, 15-17 July 2026.","https://aiff.net.au/about-the-show/","https://app.notion.com/p/62e104d39eef49d39c438857e1d275bc"
"Australian Investment Conference","2026-09-02","2026-09-03",,"The Langham, Gold Coast","Gold Coast","QLD","Australian Investment Council","https://investmentcouncil.com.au","https://investmentcouncil.com.au/site/Shared_Content/Events/Event-Display.aspx?EventKey=QCON020926",,"The Australian Investment Council's flagship annual conference and the largest gathering for private capital professionals in Australia, covering private equity, venture capital and private credit trends over two days of keynotes, panels and networking, including the Investing for Growth Awards & Gala Dinner.","Private equity and venture capital fund managers (GPs), institutional investors (LPs), advisers, corporate partners and government","industry_summit","annual",true,"$3,495 (GP/government members) - $4,295 (corporate members) inc GST",,,"Venture Capital, Financial Services","2026 edition returns to the Gold Coast; all plenary sessions at The Langham with opening night drinks at Surfers Pavilion. Dress code business casual.","https://investmentcouncil.com.au/site/Shared_Content/Events/Event-Display.aspx?EventKey=QCON020926","https://app.notion.com/p/6dfa7514ab104fdbb1b6ef4715d7917b"
"Australian Jewellery Fair (AJF)","2026-04-19","2026-04-20","10-11 April 2027, Cairns","Adelaide Convention Centre","Adelaide","SA","Expertise Events","https://www.expertiseevents.com.au","https://jewelleryfair.com.au/ajf/",,"Trade-only fair where Australia's jewellery industry kicks off the year - fine jewellery, gemstones and design from leading suppliers. Sister event to the International Jewellery Fair.","Jewellery retailers and designers sourcing at the start of the year","trade_exhibition","annual",true,"Free (trade only)",,,"Retail, Wholesale","Ran 19-20 Apr 2026 in Adelaide. 2027 edition moves to Cairns, 10-11 April (per organiser's official Instagram).","https://jewelleryfair.com.au/ajf/","https://app.notion.com/p/64f51eff935b4eddbb708aa75f635328"
"Australian Manufacturing Week (AMW)",,,"2027, Melbourne (expected; official site states 'We hope to see you in Melbourne in 2027, details coming in late 2026' - 2026 edition ran 12-14 May at Brisbane Convention & Exhibition Centre)",,"Melbourne","VIC","AMTIL (Australian Manufacturing Technology Institute Limited)","https://amtil.com.au","https://australianmanufacturingweek.com.au/","https://australianmanufacturingweek.com.au/","Australia's premier precision and advanced manufacturing exhibition, run for over 25 years by peak body AMTIL and rotating between major cities. The core route to market for machine tools, automation and manufacturing technology vendors.","Precision and advanced manufacturers - production engineers, plant managers and capital equipment procurement","trade_exhibition","annual",true,,,,"Manufacturing","2026 Brisbane edition (first time in Queensland) has just passed; 2027 Melbourne dates not yet announced.","https://australianmanufacturingweek.com.au/","https://app.notion.com/p/764b3c3859af4b6f8bfc31e8f91a2706"
"Australian National Field Days","2026-10-22","2026-10-24",,"ANFD site, Borenore (15km west of Orange)","Orange","NSW","Australian National Field Days","https://anfd.com.au","https://anfd.com.au/","https://www.123tix.com.au/events/52883/australian-national-field-days","Australia's oldest annual agricultural exhibition, established in 1952, drawing hundreds of exhibitors to the Borenore site near Orange each October. A heritage fixture for vendors targeting mixed farming and regional agribusiness buyers.","Farmers, producers and rural businesses across central-west NSW and beyond","trade_exhibition","annual",true,,,,"Agriculture","Regional listings cite 500-600 exhibitors; figure not published on the official site so left out of the exhibitor_count field.","https://anfd.com.au/","https://app.notion.com/p/64133b14f09940b083d60fd4cf4ee660"
"Australian Regional Tourism Convention (ARTC)","2026-10-20","2026-10-23",,,"Busselton","WA","Australian Regional Tourism (ART)","https://regionaltourism.com.au","https://regionaltourism.com.au","https://regionaltourism.com.au","The peak national convention for regional tourism in Australia, hosted in a different regional destination each year. A sponsorship and networking channel for vendors selling into regional tourism bodies and councils.","Regional tourism organisations, operators, local government and destination-marketing decision makers","industry_summit","annual",true,,,,"Tourism","2026 host destination (Busselton, WA) announced by ART October 2025; program is welcome reception + two convention days + dinner. Attendance figures not published - left null.","https://corporate.australiassouthwest.com/2026-australian-regional-tourism-convention-announcement/","https://app.notion.com/p/3b31aa497a184ba995e3a1ed2aaed066"
"Australian Space Forum","2026-07-21","2026-07-22",,"Adelaide Convention Centre","Adelaide","SA","Andy Thomas Space Foundation","https://andythomas.foundation","https://australianspaceforum.com.au",,"A long-running, numbered series of forums for Australia's space sector, run by the Andy Thomas Space Foundation, combining conference sessions with a dedicated Exhibition Hall showcasing the global space ecosystem.",,"conference_with_expo",,false,,,,"Space","19th Australian Space Forum - 21-22 Jul 2026, theme 'Global Challenges, Regional Solutions: Space Partnerships in the Indo-Pacific'. Includes a dedicated Exhibition Hall (21 Jul) showcasing the global space ecosystem, plus networking function and media stage. Recurring series (numbered editions, roughly annual/twice-yearly cadence) - frequency left blank.","https://australianspaceforum.com.au/","https://app.notion.com/p/2f0af64fc9304355b4f2905f9b360e5b"
"Australian Space Summit & Exhibition","2026-06-17","2026-06-18",,"Hyatt Regency Sydney","Sydney","NSW","Momentum Media (Space Connect)","https://www.momentummedia.com.au","https://www.spaceconnectonline.com.au/ausspacesummitandexhibition/",,"Australia's leading space industry summit and exhibition, run by Momentum Media's Space Connect, bringing together government, industry and Defence speakers alongside an exhibition floor.",,"trade_exhibition","annual",false,,,,"Space","Australia's leading space industry summit & exhibition, fifth year in 2026 (has run 17-18 Jun). 70+ speakers across government, industry and Defence; principal partner Space Centre Australia. 2027 dates not yet announced.","https://www.momentummedia.com.au/insights/australian-space-summit-exhibition-announces-2026-return-with-powerhouse-speaker-lineup","https://app.notion.com/p/c6974f576ee54b7fb5aaf271ce92081d"
"Australian Tourism Exchange (ATE)","2027-05-16","2027-05-20",,"ICC Sydney","Sydney","NSW","Tourism Australia (ATE27 in partnership with Destination NSW)","https://www.tourism.australia.com","https://www.tourism.australia.com/en/news-and-events/events/tourism-australia-industry-events/ate-2027.html","https://www.tourism.australia.com/en/news-and-events/events/tourism-australia-industry-events/ate-2027.html","Australia's largest annual travel and tourism B2B event, connecting Australian tourism sellers with international buyers through scheduled business appointments. The Southern Hemisphere's biggest international tourism trade conference, returning to Sydney in 2027 for the first time in five years.","Australian visitor-economy businesses and international tourism wholesalers, retailers and buyers","trade_exhibition","annual",true,,2900,,"Tourism","ATE26 ran 10-14 May 2026 at Adelaide Convention Centre with 2,900+ attendees and buyers from 32+ countries (official ministerial media release). Appointment-based marketplace format rather than open exhibition.","https://www.tourism.australia.com/en/news-and-events/events/tourism-australia-industry-events/ate-2027.html","https://app.notion.com/p/14bb76bf43a94a4ba0d3d7ebf3eb9e34"
"Australian Venture Summit","2026-05-28",,,"Art Gallery of New South Wales","Sydney","NSW","Australian Investment Council","https://investmentcouncil.com.au","https://investmentcouncil.com.au/site/Shared_Content/Events/Event-Display.aspx?EventKey=NAVS280526",,"A one-day summit from the Australian Investment Council connecting investors, founders and ideas, with deep dives into venture capital trends, emerging industries and portfolio company case studies through panels and presentations.","Venture capital investors, founders, entrepreneurs, advisers and corporate innovation leaders","industry_summit","annual",true,,,,"Venture Capital","2026 edition has run (28 May 2026, Sydney). Corporate partners include Hall & Wilcox and HLB Mann Judd.","https://investmentcouncil.com.au/site/Shared_Content/Events/Event-Display.aspx?EventKey=NAVS280526","https://app.notion.com/p/6478d88814fb43dd898fcfde663164d0"
"AVA Conference (Australian Veterinary Association)","2026-05-18","2026-05-21",,"Brisbane Convention & Exhibition Centre","Brisbane","QLD","Australian Veterinary Association (AVA)","https://www.ava.com.au","https://au.eventscloud.com/website/3071/home/",,"The Australian Veterinary Association's flagship annual conference, featuring a multi-stream scientific program, trade exhibition and a Start-Up Hub highlighting innovation in the veterinary sector.",,"conference_with_expo","annual",false,,,,,"AVA's flagship annual conference - 2026 edition has run (18-21 May, Brisbane; first time back since 2018). 8-stream scientific program, trade exhibition, Start-Up Hub highlighting vet-sector innovation. 2027 dates/host city not yet announced. AVA also runs smaller state conferences (e.g. Tasmanian Conference, 13-15 Nov 2026, Launceston).","https://au.eventscloud.com/website/3071/home/","https://app.notion.com/p/041bbcc3ce2a4bc0ae686c356b7a92e9"
"Avalon - Australian International Airshow & Aerospace/Defence Exposition","2027-02-23","2027-02-28",,"Avalon Airport","Geelong","VIC","AMDA Foundation Limited","https://amda.com.au","https://airshow.com.au/","https://airshow.com.au/","The Southern Hemisphere's most prestigious aviation, aerospace and defence event, combining three dedicated industry trade days with a massive public airshow. The 2025 edition generated $240.9 million for the Victorian economy, underscoring its scale as a market-entry platform.","Aerospace and defence primes, MRO, advanced air mobility, government and RAAF procurement (trade days), plus public audiences","trade_exhibition","biennial",true,,200000,902,"Defence","Trade days 23-26 February; public days 26-28 February. Attendance figure (200,000+ visitors, 2025) from the official dates announcement and includes public days. A US pavilion organiser cites 902 exhibitors - third-party, noted only.","https://airshow.com.au/support/media-resource/latest-news/avalon-2027-dates-confirmed/","https://app.notion.com/p/f494d45b089b4140bf1eb755b774012e"
"AVCJ Private Equity Forum Australia & New Zealand","2026-03-03","2026-03-05","March 2027, Sydney (dates TBC)","Four Seasons Hotel Sydney","Sydney","NSW","AVCJ / ION Analytics","https://community.ionanalytics.com","https://community.ionanalytics.com/avcj-private-equity-forum-australia-new-zealand-2026",,"The region's leading LP-GP gathering for private equity, now in its 23rd year. The 2026 forum brought together over 750 private market professionals including 290+ LPs representing 410+ organisations from 21 countries, held in Sydney and online.","Private equity decision-makers: LPs (super funds, sovereign funds, endowments), GPs, fund-of-funds, advisers and service providers","industry_summit","annual",true,,750,,"Venture Capital, Financial Services","2026 edition has run (3-5 March, Sydney + online). Hybrid format. Keynotes in 2026 included Hon Peter Costello AC and Pacific Equity Partners' Tim Sims AM.","https://community.ionanalytics.com/avcj-private-equity-forum-australia-new-zealand-2026","https://app.notion.com/p/45ca1056361c4c1baf69a543ede49596"
"B2B eCommerce World Asia Pacific","2026-07-28","2026-07-29",,,"Melbourne","VIC","B2B eCommerce World","https://b2becommerceworld.org","https://b2becommerceworld.org/apac",,"A focused two-day conference for B2B ecommerce at manufacturers and distributors, part of a global series with editions in the US and Europe. It is a niche but well-matched audience for vendors selling B2B commerce platforms, PIM and digital sales tooling into the ANZ market.","Digital and ecommerce leaders at manufacturers and distributors across Asia Pacific","industry_summit","annual",true,,,,"Retail, Technology","Asia Pacific edition confirmed for 28-29 July 2026 in Melbourne on the official site; specific venue not yet published.","https://b2becommerceworld.org/apac","https://app.notion.com/p/91195ab687b3422a9fb36a0d3b0d3bfa"
"B2B Marketing Leaders Forum APAC","2027-05-18","2027-05-19",,"Doltone House, Jones Bay Wharf","Sydney","NSW","B2B Marketing Leaders Forum","https://b2bmarketingleaders.com.au","https://b2bmarketingleaders.com.au/sydney/","https://b2bmarketingleaders.com.au/sydney/","APAC's largest conference for B2B marketing leaders, celebrating its 12th year in 2027 with 70+ speakers, four tracks and the B2B Marketing Hall of Fame Awards dinner. Directly relevant to MES's own audience of B2B vendors building ANZ pipeline.","B2B CMOs and marketing leaders across technology, professional services and industrial sectors","conference_with_expo","annual",true,,,,"Marketing","2026 edition ran 20-21 May at the same venue (~90 speakers per aggregator). Sister event: B2B Marketing Leaders Forum ASIA, 14-15 October 2026, Singapore.","https://b2bmarketingleaders.com.au/sydney/","https://app.notion.com/p/09635247837b4398be9c2cd54f3f58fe"
"Beauty Expo Australia","2026-08-15","2026-08-16",,"ICC Sydney Exhibition Centre","Sydney","NSW","RX Australia (Reed Exhibitions)","https://www.rxglobal.com","https://www.beautyexpoaustralia.com.au",,"Australia's largest professional, trade-only beauty event, run by RX Australia, bringing together salon owners and beauty buyers with brand exhibitors, conference sessions and the Face2Face Makeup Awards.",,"conference_with_expo","annual",false,,7000,200,,"Australia's largest professional beauty event - trade only. 7,000+ key decision makers, motivated buyers and salon owners; 200+ brands expected. Includes 60+ conference sessions and the Face2Face Makeup Awards.","https://iccsydney.com.au/events/beauty-expo-australia/","https://app.notion.com/p/d38590f100a046518db0b82562a73345"
"Beef Australia","2027-05-02","2027-05-08",,"Rockhampton Showgrounds and Rockhampton City","Rockhampton","QLD","Beef Australia Ltd","https://beefaustralia.com.au","https://beefaustralia.com.au/",,"Australia's national beef expo and one of the world's leading beef cattle events, running for a full week once every three years in Rockhampton. Its scale and international delegations make it a marquee market-entry moment for vendors across genetics, agtech, processing and export services.","Beef producers, processors, exporters, scientists and agribusiness suppliers","trade_exhibition",,true,,,,"Agriculture","Triennial cadence - outside the prompt's frequency enum (annual/biennial/multiple_per_year); flagged for the validation script. Next edition 2-8 May 2027.","https://beefaustralia.com.au/","https://app.notion.com/p/d750ac3cbc6e4191baba668800bb3b9a"
"Beyond Tomorrow (AP+ Summit)",,,"March 2027 (expected; 2026 edition was 25 Mar at ICC Sydney)","Pyrmont Theatre, ICC Sydney","Sydney","NSW","Australian Payments Plus (AP+)","https://www.auspayplus.com.au","https://www.auspayplus.com.au/beyond-tomorrow",,"The annual summit of Australian Payments Plus, the operator of Australia's domestic payments and digital identity infrastructure (eftpos, BPAY, NPP, ConnectID). The 2026 edition drew more than 700 leaders from banking, fintech, government and technology. A strong room for payments and identity fintechs to meet scheme operators and bank partners.","Leaders across banking, fintech, government and technology in payments and digital identity","industry_summit","annual",true,,700,,"FinTech","2026 edition has passed; 2027 date not yet announced. Attendance figure is AP+'s own published wrap-up claim.","https://www.auspayplus.com.au/beyond-tomorrow","https://app.notion.com/p/45b2fa693aac4ae181842417cce73d02"
"BIGSOUND","2026-09-01","2026-09-04",,"Fortitude Valley precinct (multiple venues)","Brisbane","QLD","QMusic","https://www.qmusic.com.au","https://www.bigsound.org.au/","https://www.bigsound.org.au/tickets","The Southern Hemisphere's biggest music industry gathering - a daytime industry conference plus ~100-artist showcase festival across Fortitude Valley, attracting 1,700+ delegates and 16,000+ aggregate showcase attendance.","Music industry executives, labels, publishers, booking agents, media, brands and artists","industry_summit","annual",true,,1700,,"Creative Industries, Media","Official site confirms 1-4 September 2026. Conflicting dates on musick.com.au (8-10 Sep) disregarded - official site wins. Attendance figure is conference delegates.","https://www.bigsound.org.au/","https://app.notion.com/p/29ebbd72d9694f499ebfdc93f1a179d3"
"Brisbane Truck Show","2027-05-20","2027-05-23",,"Brisbane Convention & Exhibition Centre","Brisbane","QLD","Heavy Vehicle Industry Australia (HVIA)","https://hvia.asn.au","https://brisbanetruckshow.com.au",,"Australia's largest industry exhibition and the biggest truck show in the Southern Hemisphere, run by Heavy Vehicle Industry Australia, showcasing trucks, trailers, components, equipment and transport technology.",,"trade_exhibition","biennial",false,,54790,250,"Transport, Manufacturing","Australia's largest industry exhibition and the biggest truck show in the Southern Hemisphere - trucks, trailers, components, equipment and transport technology. 2027 edition (20-23 May, BCEC) marks the event's 60th anniversary. Attendance/exhibitor figures from the record 2025 edition (54,790 attendees, 250+ exhibitors over 35,000m²). Includes Truck Week on South Bank and Heritage Truck Show.","https://brisbanetruckshow.com.au/","https://app.notion.com/p/305d270f51994754a6980f402a8239ea"
"C&I Expo (Convenience & Impulse Retailing Expo)","2026-03-17","2026-03-18","2027 (Melbourne - alternates Sydney/Melbourne annually)","International Convention Centre Sydney","Sydney","NSW","C&I Media (Convenience & Impulse Retailing)","https://www.c-store.com.au","https://candiexpo.com.au/",,"Australia's largest trade event for the convenience and impulse retail industry, running for over 30 years. Showcases suppliers from across Asia Pacific with products, services and equipment for convenience retailers, headlined by the C&I Industry Symposium.","Convenience, petrol & convenience (P&C), roadside retail, independent grocery, impulse and route trade retailers and buyers","trade_exhibition","annual",true,"Free for retailers and trade buyers",,130,"Retail","2026 edition (35th) has run, 17-18 March at ICC Sydney. Alternates between Sydney and Melbourne each year, 130+ exhibitors.","https://insideretail.com.au/business/ci-expo-returns-to-sydney-as-convenience-retail-decision-makers-gather-202601","https://app.notion.com/p/468d5307f551410db42871aad98486c3"
"Caravan Industry National Conference","2026-05-13","2026-05-15",,"RACV Royal Pines Resort","Gold Coast","QLD","Caravan Industry Association of Australia","https://www.caravanindustry.com.au","https://caravanconference.com.au",,"The caravan and camping industry's biggest national business event - keynotes, breakout sessions, expanded trade exhibition, masterclasses and gala awards dinner.","Caravan & RV manufacturers, dealers, holiday park operators and industry suppliers","conference_with_expo","annual",true,,1150,140,"Tourism","2026 edition set a record: 1,150+ delegates and 140 exhibitors (AccomNews coverage). Runs back-to-back with the CPAQ state conference.","https://caravanconference.com.au","https://app.notion.com/p/c02338d03ec74220a1d7b751789203be"
"CBAA Conference","2026-10-22","2026-10-24","22-24 October 2026, Nyaal Banyul Geelong Convention and Event Centre","Nyaal Banyul Geelong Convention and Event Centre","Geelong","VIC","Community Broadcasting Association of Australia (CBAA)","https://www.cbaa.org.au","https://conference.cbaa.org.au/","https://conference.cbaa.org.au/registration","The annual national conference of the Community Broadcasting Association of Australia, bringing the community radio and broadcasting sector together for professional development, awards and networking. The 2026 edition moves to the new Nyaal Banyul Geelong Convention and Event Centre.","Community radio and TV station managers, broadcast staff and volunteers, sector suppliers and media technology vendors","industry_summit","annual",true,,,,"Broadcasting, Media","Registrations, award entries and scholarship applications for 2026 are open; exact 2026 dates were not visible in research sources - left blank rather than inferred.","https://www.cbaa.org.au/membership/conference","https://app.notion.com/p/de1bfb4b9e35433badacf28ac52d11d3"
"CDAO Melbourne","2026-09-01","2026-09-02",,"Crown Promenade Hotel","Melbourne","VIC","Corinium Global Intelligence","https://www.coriniumintelligence.com","https://cdao-mel.coriniumintelligence.com","https://cdao-mel.coriniumintelligence.com/registration","CDAO Melbourne is Corinium's flagship Victorian gathering of 500+ senior data and AI leaders, co-located with the Data & AI Architecture and Enterprise AI events at Crown Promenade. Sponsorship puts data and analytics vendors directly in front of the executives who own enterprise data budgets across both public and private sectors.","Chief Data & Analytics Officers and senior data, AI and governance leaders across finance, government, healthcare, retail and energy","industry_summit","annual",true,,500,,"AI, Technology","500+ attendees and 70+ speakers published on official Corinium site. Co-located with Data & AI Architecture and Enterprise AI Melbourne.","https://cdao-mel.coriniumintelligence.com","https://app.notion.com/p/e32a31ebe95349d2a409cd898da1f8d1"
"CDAO Sydney",,,"March 2027 (expected; 2026 edition ran 3-4 March, co-located with Data & AI Architecture Sydney and Enterprise AI Sydney)",,"Sydney","NSW","Corinium Global Intelligence","https://www.coriniumintelligence.com","https://cdao-syd.coriniumintelligence.com",,"CDAO Sydney is Australia's longest-running senior data and analytics leadership event, convening C-suite data officers for keynotes, panels and case studies on data readiness, responsible AI and governance. Its co-located format with Data & AI Architecture and Enterprise AI Sydney gives vendors a concentrated two-day window with NSW's most senior data buyers.","C-level and senior data, analytics and AI leaders across Australian enterprise and government","industry_summit","annual",true,,,,"AI, Technology","2026 edition (3-4 March, Sydney) has passed; official site does not yet show 2027 dates. Aggregators indicate 2-3 March 2027 - not confirmed on official site, so dates left null.","https://cdao-syd.coriniumintelligence.com","https://app.notion.com/p/d7ed58ce23ef479b9448aea9d0a59110"
"CeMAT Australia","2027-07-27","2027-07-29",,"The Dome, Sydney Showground","Sydney","NSW","Hannover Fairs Australia (Deutsche Messe)","https://www.hfaustralia.com","https://www.cemat.com.au/","https://www.cemat.com.au/","Australia's leading trade show for intralogistics, robotics and automation, warehousing and materials handling, part of the global CeMAT series. Free to attend, it is the key platform for warehouse automation vendors targeting Asia-Pacific buyers.","Warehouse operators, supply chain managers and logistics leaders buying automation, robotics and materials handling","trade_exhibition","annual",true,,,,"Logistics, Manufacturing","2026 edition ran 23-25 June at MCEC; 2027 confirmed for 27-29 July at The Dome, Sydney Showground. Alternates Sydney/Melbourne. Global series also runs in Singapore, Shanghai, Guangzhou, Milan and Istanbul.","https://www.cemat.com.au/","https://app.notion.com/p/97c0f63cc0f74975be21535f9191a4ce"
"Chemeca + Hazards Australasia","2026-09-28","2026-09-30",,"Marvel Stadium","Melbourne","VIC","ANZ Federation of Chemical Engineers (with IChemE, RACI & Engineers Australia)","https://www.anzfche.org","https://www.chemeca.org","https://www.chemeca.org/registration","Annual conference for the Australian & NZ chemical and process engineering community, co-located with the Hazards Australasia process safety conference. 2026 theme: Innovate. Integrate. Impact.","Chemical & process engineers, industrial chemists, process safety professionals","industry_summit","annual",true,"$1,010-$2,190 AUD (member/non-member/student-retiree tiers; early bird to 17 Jul)",,,"Manufacturing","Single registration covers both Chemeca and Hazards Australasia. 2025 edition was in Adelaide. Early bird extended to 17 Jul 2026.","https://www.chemeca.org","https://app.notion.com/p/398ee05cd3c94e86b3267f92a75e44bd"
"CISO Melbourne","2026-07-14","2026-07-15",,"Crown Promenade Hotel","Melbourne","VIC","Corinium Global Intelligence","https://www.coriniumintelligence.com","https://ciso-mel.coriniumintelligence.com/","https://ciso-mel.coriniumintelligence.com/registration","One of Victoria's most significant annual forums for senior information security leaders, gathering 500+ attendees and 50+ speakers at Crown Promenade. Co-location with Cloud Security, AppSec & DevSecOps and OT Security Melbourne concentrates several security buying audiences under one roof for sponsoring vendors.","Victoria's senior information security leaders - CISOs, heads of cyber, GRC and resilience executives","industry_summit","annual",true,,500,,"Cybersecurity","Attendance (500+) and speaker count from the official event site. Co-located with Cloud Security Melbourne, AppSec & DevSecOps Melbourne and OT Security Melbourne. 2026 edition runs 14-15 July - days away at time of research.","https://ciso-mel.coriniumintelligence.com/","https://app.notion.com/p/e7b68e98732f43e8a37e87cb686c980d"
"CISO Sydney","2027-02-16","2027-02-17",,,"Sydney","NSW","Corinium Global Intelligence","https://www.coriniumintelligence.com","https://ciso-syd.coriniumintelligence.com/",,"Corinium's flagship NSW security summit, billed as the largest annual gathering of the state's most senior InfoSec decision makers. Its sponsor-driven format with exhibition space and facilitated networking makes it an efficient way for vendors to reach concentrated CISO buying power in Sydney.","NSW's most senior InfoSec decision makers - CISOs, heads of security, risk and resilience leaders","industry_summit","annual",true,,,,"Cybersecurity","2027 dates (16-17 Feb) per Corinium's own events calendar. 2026 edition ran 10-11 February at Royal Randwick Racecourse; aggregators list Royal Randwick for 2027 but the venue is not yet confirmed on the official event site.","https://ciso-syd.coriniumintelligence.com/","https://app.notion.com/p/1a89212d8b0e4d65ac68152c907023e8"
"Coffs Waste Conference","2026-05-12","2026-05-14","May 2027 (annual; running since 1996)","Opal Cove Resort","Coffs Harbour","NSW",,,"https://coffswasteconference.com.au/2026/",,"A long-running regional waste management conference and trade exhibition held in Coffs Harbour, drawing waste industry professionals from across the sector.",,"conference_with_expo","annual",false,,,,"Utilities","Long-running waste management conference (est. 1996, 30-year legacy) with trade exhibition. 2025 edition drew 670+ delegates in person and online. 2026 edition has run. Organising company not clearly published - left blank.","https://coffswasteconference.com.au/2026/","https://app.notion.com/p/85bb5442334b4b1eb7697c63daf632ae"
"Collision Repair Expo","2026-05-14","2026-05-16","May 2028 (biennial; co-located with Australian Auto Aftermarket Expo)","Melbourne Convention & Exhibition Centre","Melbourne","VIC","Australian Automotive Aftermarket Association (AAAA)","https://www.aaaa.com.au","https://www.collisionrepair.com.au",,"Australia's most comprehensive exhibition of crash repair equipment, tools and body finishing materials for the collision repair trade, run by the AAAA and co-located with the Australian Auto Aftermarket Expo.",,"trade_exhibition","biennial",false,,,,,"Nation's most comprehensive exhibition of body finishing materials, crash repair equipment and tools. Co-located with AAAE, forming Australia's largest combined automotive aftermarket gathering.","https://www.aaaa.com.au/upcoming-events/cre/","https://app.notion.com/p/306f3634b0244924a592df58204d2cb6"
