Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Scraped,Notion page URL,mes_table,mes_id,mes_name,mes_website,match_score,match_candidate_count,chosen_match_reason
Devika Ventures,Funding,Investor,NSW,$100k - $1.5m,,Unspecified,AI; EdTech; Tech,,"Wollongong, NSW-based early-stage VC investing $100k–$1.5m from Pre-Seed through Series A. Targets AI-first, founder-led startups — particularly non-technical founders — with unique industry insight and early commercial momentum. Active in enterprise, education, government, and entertainment. Makes 3–6 investments per year.",https://devika.com/ventures/,2026-07-09,https://app.notion.com/p/Devika-Ventures-3985de22266781af81b9c444459d3963,investors_public,79126800-deec-48b7-b52b-3b6dcdbf8b80,Devika Ventures,https://devika.com/ventures/,1.000,12,exact normalised name + domain match
Dragonfly Enviro Capital,Funding,Investor,National,$300k - $10m,,Unspecified,CleanTech,,"Sydney-based impact VC investing $300k–$10m in environmental and climate ventures from Seed through growth. Focus areas: sustainable agriculture, clean energy, circular economy, and nature-based solutions. Companies must demonstrate measurable environmental impact alongside commercial returns.",https://www.dragonflyenvirocapital.com/,2026-07-09,https://app.notion.com/p/Dragonfly-Enviro-Capital-3985de22266781b088c3e9c1d5579b05,investors_public,f0509073-8ddf-4422-86c1-b77c96460054,Dragonfly Enviro Capital,https://dragonflyenvirocapital.com/,1.000,1,exact normalised name + domain match
Empress Capital,Funding,Investor,National,,,Unspecified,AI/ML,,Australian VC investing in AI-native companies at Pre-Seed and Seed. Backs technical founders building foundational AI products. Cheque size not publicly disclosed.,https://empresscapital.vc/,2026-07-09,https://app.notion.com/p/Empress-Capital-3985de2226678117ad02cee2a6f73379,investors_public,18217527-6666-493f-8336-f678a41d7c89,Empress Capital,https://empresscapital.vc/,1.000,3,exact normalised name + domain match
Euphemia,Funding,Investor,National,,Always open,Open / Rolling,FinTech; CleanTech,Women,"Family office of Zip co-founder Larry Diamond. Invests in fintech and financial wellness startups, plus climate and female-led ventures.",https://euphemia.com/,2026-07-09,https://app.notion.com/p/Euphemia-3985de22266781faa7f6c42b4f72629f,investors_public,da0bd30d-2ec9-451f-b67c-7b3ba72411af,Euphemia,https://euphemia.com,1.000,1,exact normalised name + domain match
Export Market Development Grant (EMDG),Funding,Grant,National,"Up to 104,500 per grant",Apply anytime,Open / Rolling,Tech,,Reimburses up to 50% of eligible export promotion expenses. Tiered grants for new-to-export through to expanding exporters.,https://www.austrade.gov.au/en/how-we-can-help-you/grants/export-market-development-grants,2026-07-09,https://app.notion.com/p/Export-Market-Development-Grant-EMDG-3985de22266781d88772edd041e4b0a8,investors_public,266bbaa3-0d17-4533-a49e-40a7fd230543,Export Market Development Grant (EMDG),https://www.austrade.gov.au/australian/export/export-grants,1.000,5,exact normalised name + domain match
Exto Partners,Funding,Investor,NSW,$2m+,,Unspecified,Tech; SaaS; FinTech,,"Sydney-based growth investor backing post-revenue technology companies with $2m+ cheques. Invests at Series A and beyond, often leading rounds. Hands-on operational involvement. Sectors include fintech, marketplaces, and enterprise software.",https://www.extopartners.com/,2026-07-09,https://app.notion.com/p/Exto-Partners-3985de222667810daa5fdec09dfb7f2b,investors_public,d488a5bd-ee22-4357-8233-f3a9e209cafb,Exto Partners,https://extopartners.com/,1.000,4,exact normalised name + domain match
Farmers2Founders,Programs,Accelerator,VIC,,,Unspecified,AgTech,Regional,"National agrifood innovation programs for producers and regional entrepreneurs. Ideas Program, Hatch and TekFarm streams.",https://farmers2founders.com/,2026-07-09,https://app.notion.com/p/Farmers2Founders-3985de222667812789e1d3d9d47ca60a,innovation_ecosystem,800576bf-d691-4158-8df3-78d636e3d7f3,Farmers2Founders,https://www.farmers2founders.com,1.000,1,exact normalised name + domain match
Fishburners,Connections,Community,National,,,Unspecified,,,"Australia's largest startup community since 2011. Coworking in Sydney CBD, virtual programs, events, and founder support. 4,500+ alumni startups.",https://fishburners.org/,2026-07-09,https://app.notion.com/p/Fishburners-3985de22266781a2b310f8bdf77581ba,innovation_ecosystem,a0284d4b-0452-41e3-89f9-021e028ad593,Fishburners,https://www.fishburners.org,1.000,1,exact normalised name + domain match
Flying Fox Ventures,Funding,Investor,National,$250k - $600k,Always open,Open / Rolling,Tech; HealthTech; CleanTech,,Early-stage VC investing across Australia and New Zealand. Backed by 250+ active angel investors. Rolling fund structure with quarterly investor intakes.,https://www.flyingfox.vc/,2026-07-09,https://app.notion.com/p/Flying-Fox-Ventures-3985de222667813e85d2e0bcf19db7bb,investors_public,b406c97a-cf23-447b-a70c-6cd24ae29f6e,Flying Fox Ventures,https://www.flyingfox.vc,1.000,3,exact normalised name + domain match
Folklore Ventures,Funding,Investor,National,Micro-cheques up to $2.5m first cheque,Always open,Open / Rolling,Tech; HealthTech,,Seed-to-scale VC partnering with Australian and NZ founders. First cheques from $500K. Known for long-term founder partnerships.,https://folklore.vc/,2026-07-09,https://app.notion.com/p/Folklore-Ventures-3985de222667817c8e20d4a087150ac7,investors_public,9c970b1c-2859-4929-b8e3-8af6bbe177b1,Folklore Ventures,https://www.folklore.vc,1.000,7,exact normalised name + domain match
Follow[the]Seed,Funding,Investor,National,,,Unspecified,Tech,,Global VC fund investing in post-seed startups with proven engagement metrics. Australian arm backs habit-forming consumer and enterprise products.,https://followtheseed.vc/,2026-07-09,https://app.notion.com/p/Follow-the-Seed-3985de22266781b38e48ed26f7525ffc,investors_public,a18eb43f-5ae5-467d-bfa8-1d6d15ed60a4,Follow [the] Seed,https://followtheseed.vc/,1.000,1,exact normalised name + domain match
Founder Institute,Programs,Accelerator,National,Entrance fee (~US$799) + 2.5% equity warrant,Multiple cohorts/year,Scheduled / Dated,Tech,,World's largest pre-seed startup accelerator with Sydney and Melbourne chapters. Structured 14-week program for idea-stage founders with global mentor network.,https://fi.co/,2026-07-09,https://app.notion.com/p/Founder-Institute-3985de22266781b19503c8379c6aea88,innovation_ecosystem,d4654d7d-58a0-4b4b-9632-02d2b47b038c,Founder Institute Sydney,https://fi.co,0.829,1,full-host match + name similarity 0.83
Full Circle Venture Capital,Funding,Investor,National,,,Unspecified,SaaS; FinTech,,Sydney-based VC investing in seed-stage software companies across Australia. Focus on B2B SaaS and fintech with hands-on portfolio support.,https://www.fullcirclevc.com.au/,2026-07-09,https://app.notion.com/p/Full-Circle-Venture-Capital-3985de22266781349ca7fea34eb81c9f,investors_public,7df48d8a-81bd-4894-b22a-726586e56caf,Full Circle Venture Capital,http://www.fullcircle.vc/,1.000,1,exact normalised name match (no domain overlap)
Fullstack Advisory,Advice,Expert,National,,,Unspecified,,,"Startup-specialist accountants covering R&D tax incentives, ESIC assessments, cap table advice, and CFO services for tech companies.",https://fullstackadvisory.com.au/,2026-07-09,https://app.notion.com/p/Fullstack-Advisory-3985de222667810abaaad39594488e8b,service_providers,3b4074d3-9b70-4c08-a1ed-eb0835577b72,Fullstack Advisory,https://www.fullstack.com.au,1.000,1,exact normalised name match (no domain overlap)
Galileo Ventures,Funding,Investor,National,$200k - $500k,,Unspecified,Tech,,First-cheque VC for emerging founders. Invests $200k–$500k at Pre-Seed and Seed in ambitious young and first-time founders across software and technology. Runs a founder community and supports through subsequent raises.,https://galileo.ventures/,2026-07-09,https://app.notion.com/p/Galileo-Ventures-3985de222667818fbd51eb9e7c60d3f9,investors_public,ff71fd8b-ef5d-4058-a627-67e69470f2f0,Galileo Ventures,https://galileo.ventures/,1.000,24,exact normalised name + domain match
Gandel Invest,Funding,Investor,VIC,,,Unspecified,Tech,,Melbourne-based family office of the Gandel family investing in venture capital funds and direct startup investments. Backs Australian VC funds and growth companies. Not open to unsolicited pitches.,https://gandel.com.au/,2026-07-09,https://app.notion.com/p/Gandel-Invest-3985de2226678187be57d68562ffba05,investors_public,4099d9f7-be92-4e8b-837c-4f38211cbc49,Gandel Invest,https://www.gandelinvest.com/,1.000,2,exact normalised name match (no domain overlap)
GBS Venture Partners,Funding,Investor,VIC,$10m - $12m,,Unspecified,BioTech; HealthTech,,"Life sciences VC managing $400m+ across multiple funds. Invests $10m–$12m over a company's life in biotechnology, pharmaceuticals, and medical devices. Australia's longest-running dedicated life sciences investor.",https://www.gbsvp.com.au/,2026-07-09,https://app.notion.com/p/GBS-Venture-Partners-3985de222667813a89fad6feb4de120e,investors_public,0f93fedf-1838-4ad9-a7d8-429388dbe014,GBS Venture Partners,http://www.gbsventures.com.au/,1.000,2,exact normalised name match (no domain overlap)
Gea Ventures,Funding,Investor,NSW,,,Unspecified,CleanTech,,"Sydney-based climate VC backing decarbonisation startups at pre-seed and seed. Focus on energy transition, built environment, and industrial emissions.",https://www.geaventures.vc/,2026-07-09,https://app.notion.com/p/Gea-Ventures-3985de22266781bb88efd4cdd6a790e3,investors_public,5edab72d-a0af-408d-b67b-2d7d7c985c6a,Gea Ventures,https://www.geaventures.vc,1.000,33,exact normalised name + domain match
Glitch Capital,Funding,Investor,VIC,$1m - $3m,,Unspecified,SaaS,,Melbourne-based VC investing $1m–$3m at Seed and Series A in B2B software companies across Australia and New Zealand. Operator-led fund with hands-on support for go-to-market and hiring.,https://glitch.vc/,2026-07-09,https://app.notion.com/p/Glitch-Capital-3985de22266781b28213c73a3d21f83b,investors_public,6ee1aa41-91e1-41d6-bee5-adc08b36dc6f,Glitch Capital,https://glitchcap.com/,1.000,7,exact normalised name match (no domain overlap)
Global Investors,Funding,Investor,NSW,,,Unspecified,,,Sydney-based investment firm. Unverified entity — limited public information available. Verify current mandate and legitimacy before engaging.,https://www.globalinvestors.com.au/,2026-07-09,https://app.notion.com/p/Global-Investors-3985de22266781dfa922d50f7c748221,investors_public,f06d8cc2-0f5b-4290-b6bb-e0f62d2f466f,Global Investors,https://www.globalinvestors.com.au,1.000,2,exact normalised name + domain match
Global Victoria,Advice,Government,VIC,,,Unspecified,Tech,,"Victoria's trade facilitation agency helping Victorian businesses export. Trade missions, export advice, and global network of trade offices.",https://global.vic.gov.au/,2026-07-09,https://app.notion.com/p/Global-Victoria-3985de22266781c1b490fa8708fcaee5,trade_investment_agencies,1644b481-b2a0-465f-bca3-9796fef9c221,Global Victoria,https://global.vic.gov.au,1.000,1,exact normalised name + domain match
Gold Coast Innovation Hub,Programs,Accelerator,QLD,,,Unspecified,Tech,,"Gold Coast startup hub with coworking, events, and programs connecting founders, investors, and talent on the Gold Coast.",https://www.gchub.com.au/,2026-07-09,https://app.notion.com/p/Gold-Coast-Innovation-Hub-3985de22266781eca802f4efa4d6d548,innovation_ecosystem,7e5f50a1-629c-4d8e-af9c-6f7be99a5ef0,Gold Coast Innovation Centre,https://www.gchub.com.au,0.830,2,full-host match + name similarity 0.83
Gravel Road Ventures,Funding,Investor,VIC,,,Unspecified,Tech,,Regional Victoria-focused VC backing founders outside metro areas. Pre-seed and seed investments in regional startups.,https://gravelroad.com/,2026-07-09,https://app.notion.com/p/Gravel-Road-Ventures-3985de22266781ecb4dedd928123dd8c,investors_public,dd55d2e9-1fd8-4b83-a2e5-15ee9367a115,Gravel Road Ventures,https://gravelroad.com/,1.000,4,exact normalised name + domain match
Grok Ventures,Funding,Investor,National,,Investments reportedly frozen Jul 2025 (family office restructure),Inactive,CleanTech; DeepTech,,Mike Cannon-Brookes' family office investing in climate tech and energy transition. Backs bold decarbonisation ventures from seed to growth.,https://grokventures.com/,2026-07-09,https://app.notion.com/p/Grok-Ventures-3985de222667819b9e23e28da11b7641,investors_public,28b48bff-8edd-4c7a-a182-a6f6cc7190ba,Grok Ventures,https://grok.ventures/,1.000,26,exact normalised name match (no domain overlap)
H2 Ventures,Funding,Investor,National,"$100,000 for 10% equity (H2 Accelerator; 20-week FinTech/Data/AI program)",Always open,Open / Rolling,FinTech,,Fintech-focused VC and accelerator investing in data-driven startups. Up to $500K initial investment.,https://h2.vc/,2026-07-09,https://app.notion.com/p/H2-Ventures-3985de222667814bb95ffcbfe99dfac5,innovation_ecosystem,9bd1e8ec-f50c-415e-9b67-2c2e38e091db,H2 Ventures,https://www.h2ventures.com,1.000,26,exact normalised name match (no domain overlap)
Hatch Quarter,Programs,Accelerator,National,,,Unspecified,Tech,Women; Migrant,"Melbourne-based innovation hub supporting migrant and women founders. Programs, coworking, and community for underrepresented entrepreneurs.",https://hatchquarter.com.au/,2026-07-09,https://app.notion.com/p/Hatch-Quarter-3985de222667818f9394d43b0519eacc,service_providers,1625bdd4-bbae-471b-a7b9-d976ea84ec0d,Hatch Quarter,https://hatchquarter.com.au/,1.000,2,exact normalised name + domain match
iAccelerate,Programs,University,NSW,,,Unspecified,,,"University of Wollongong's business incubator. Dedicated building with programs from idea validation to scale, plus iAccelerate Seed Fund.",https://iaccelerate.com.au/,2026-07-09,https://app.notion.com/p/iAccelerate-3985de22266781e789f5c76ad263850b,innovation_ecosystem,d6b4653e-cbfc-46de-883f-e1041dc96f2d,iAccelerate Wollongong,https://www.iaccelerate.com.au/,0.800,4,full-host match + name similarity 0.80
IDG Capital,Funding,Investor,National,$5m - $200m,,Unspecified,AI/ML; HealthTech,,"Global investment firm managing US$20B+ across venture, growth, and buyout stages. Invests US$5m–$200m in technology, healthcare, and consumer companies. China-founded with global offices. Limited Australian activity — primarily larger growth deals.",https://www.idgvc.com/,2026-07-09,https://app.notion.com/p/IDG-Capital-3985de22266781daac35f19700afa484,investors_public,322f6b0f-cd10-4994-88e9-9dc88296b053,IDG Capital,https://www.idgcapital.com,1.000,12,exact normalised name match (no domain overlap)
Impact Investment Fund,Funding,Investor,National,$100k - $5m,,Unspecified,CleanTech; AgTech,,"Impact-first fund investing $100k–$5m in ventures generating measurable social and environmental outcomes alongside returns. Sectors include clean energy, sustainable food, and health equity.",https://impacthub.investments/,2026-07-09,https://app.notion.com/p/Impact-Investment-Fund-3985de222667812caa58ce034a0af1ba,investors_public,b9bc8c5c-b622-4b59-9549-267b70479a1f,Impact Investment Fund,https://www.impactinvestmentfund.com.au/,1.000,1,exact normalised name match (no domain overlap)
In-Q-Tel Australia,Funding,Investor,National,,,Unspecified,DeepTech,,"US intelligence community's strategic investor with Sydney office. Invests in dual-use deep tech: AI, cyber, space, and quantum for national security applications.",https://www.iqt.org/,2026-07-09,https://app.notion.com/p/In-Q-Tel-Australia-3985de22266781988d21e51f40e893f4,investors_public,76c95de3-3b30-41ec-b0fe-2e74e32dc4b5,In-Q-Tel Australia,https://www.iqt.org/,1.000,1,exact normalised name + domain match
INCUBATE Sydney,Programs,Accelerator,NSW,"$5,000 equity-free grant",Annual cohorts (14-week program),Scheduled / Dated,Tech,,"University of Sydney's award-winning startup program. $5K equity-free grants, 14-week program, and alumni network of 300+ startups.",https://incubate.org.au/,2026-07-09,https://app.notion.com/p/INCUBATE-Sydney-3985de2226678194b91ed7e1968012f6,innovation_ecosystem,9cd9b37e-6e73-4eb7-945a-1a6033355e02,INCUBATE,https://incubate.org.au,0.800,1,full-host match + name similarity 0.80
Inhouse Ventures,Funding,Investor,National,,,Unspecified,SaaS,,Venture studio co-founding B2B software companies with domain experts. Builds ventures from scratch with shared equity model.,https://inhouseventures.com.au/,2026-07-09,https://app.notion.com/p/Inhouse-Ventures-3985de22266781928f70cabc65109cec,investors_public,58558c10-3610-4ef1-bdd5-893c0972324c,Inhouse Ventures,https://inhouseventures.com.au/,1.000,10,exact normalised name + domain match
INP Capital,Funding,Investor,National,,,Unspecified,CleanTech; DeepTech,,"Deep tech VC investing in climate, energy, and industrial innovation. Backs technical founders commercialising breakthrough science.",https://www.inp-capital.com/,2026-07-09,https://app.notion.com/p/INP-Capital-3985de2226678102911fee22d85201b9,investors_public,d3d7753d-4bd1-4f6e-90a7-c36281c5c73a,INP Capital,https://www.inp-capital.com/,1.000,12,exact normalised name + domain match
InterValley Ventures,Funding,Investor,National,,,Unspecified,HealthTech; AgTech,,VC connecting Australian startups with Asian markets and capital. Healthtech and agtech focus with cross-border expertise.,https://intervalley.vc/,2026-07-09,https://app.notion.com/p/InterValley-Ventures-3985de222667810e90ddd22dd35d7f60,investors_public,edcadf5e-0fa3-48d2-88cb-491cae3d8871,Intervalley Ventures,https://intervalley.vc/,1.000,8,exact normalised name + domain match
Invest Victoria,Advice,Government,VIC,,,Unspecified,Tech; FinTech; HealthTech; CleanTech,,Victoria's investment attraction agency. Supports international companies establishing in Victoria and connects them with local startup ecosystem.,https://www.invest.vic.gov.au/,2026-07-09,https://app.notion.com/p/Invest-Victoria-3985de222667811ea34bc688a4458041,service_providers,0cf657b5-e1f8-46f8-b612-87d03167de9d,Invest Victoria,https://www.invest.vic.gov.au/,1.000,2,exact normalised name + domain match
Investible,Funding,Investor,National,$250k - $1.5m,Always open,Open / Rolling,Tech,,"Early-stage VC with structured, data-driven investment process. Climate Tech Fund and general funds. 100+ portfolio companies globally.",https://investible.com/,2026-07-09,https://app.notion.com/p/Investible-3985de2226678161b3f8e85234928998,investors_public,4da17ceb-86a6-4e95-a6fa-123cf2e7df90,Investible,https://investible.com,1.000,1,exact normalised name + domain match
January Capital,Funding,Investor,National,$250k - $5m,,Unspecified,SaaS,,Singapore and Australia-based VC investing US$250k–$5m in B2B software companies across Southeast Asia and Australia. Seed through Series A focus with follow-on capacity.,https://www.januarycapital.vc/,2026-07-09,https://app.notion.com/p/January-Capital-3985de222667813c8b00c80f34a4ebbc,investors_public,239f0d40-3d90-499b-91c2-bb680378ca78,January Capital,https://www.january.capital/,1.000,4,exact normalised name match (no domain overlap)
Jekara Group,Funding,Investor,National,,,Unspecified,CleanTech,,Sydney-based family office investing in sustainability-focused ventures and real assets. Private mandate — limited public information.,https://www.jekaragroup.com/,2026-07-09,https://app.notion.com/p/Jekara-Group-3985de22266781fc99eecef51a422a52,investors_public,83a5502d-e651-4f05-8d18-42f3cce3b121,Jekara Group,https://www.jekaragroup.com/,1.000,1,exact normalised name + domain match
Jelix Ventures,Funding,Investor,National,$250k - $1.5m,,Unspecified,DeepTech; Tech,,Sydney-based early-stage VC investing $250k–$1.5m at Pre-Seed through Series A. Backs Australian deep tech and transformative technology with syndicate co-investment model alongside its funds.,https://jelix.vc/,2026-07-09,https://app.notion.com/p/Jelix-Ventures-3985de22266781698e42ec4f68066f19,investors_public,e447a93b-346f-4faa-8b12-aac5ab7b1f6e,Jelix Ventures,https://jelix.vc/,1.000,22,exact normalised name + domain match
Judo Bank,Funding,Investor,National,"250,000+",Apply anytime,Open / Rolling,FinTech,,SME challenger bank providing business loans from $250K. Relationship banking model for growing businesses that big banks overlook.,https://www.judo.bank/,2026-07-09,https://app.notion.com/p/Judo-Bank-3985de22266781739d9ff6a8cfb72b5e,service_providers,0ddbca20-ca15-45a1-a921-345a34205b70,Judo Bank,https://www.judo.bank,1.000,1,exact normalised name + domain match
Jungle Ventures,Funding,Investor,National,$500k - $20m,,Unspecified,FinTech; SaaS; Tech,,"Singapore-headquartered VC investing US$500k–$20m from Seed through Series C in Southeast Asian and Australian technology companies. Consumer, SaaS, and fintech focus.",https://jungleventures.com/,2026-07-09,https://app.notion.com/p/Jungle-Ventures-3985de222667819d80a9ca04a174aa92,investors_public,28f85a0f-386a-42ce-855f-132b68a1d402,Jungle Ventures,https://www.jungle.vc,1.000,9,exact normalised name match (no domain overlap)
KIN Group,Funding,Investor,National,,,Unspecified,Tech; FinTech,,"Melbourne-based multi-family office investing across manufacturing, FMCG, financial markets, technology, and real estate in Australia and Asia. Provides strategic value beyond capital including IPO prep, go-to-market support, and board placements. Not a dedicated VC fund — operates as a family office with broad opportunistic mandate. No publicly stated stage or cheque size restrictions.",https://kingroup.com.au/,2026-07-09,https://app.notion.com/p/KIN-Group-3985de22266781349787c5c35c3d9359,investors_public,18355fb8-4f0e-4464-972f-f823e19cc925,KIN Group,https://www.kingroup.com.au/,1.000,1,exact normalised name + domain match
King River Capital,Funding,Investor,National,~$10m,,Unspecified,SaaS; AI/ML,,Australian-American VC investing across Series A and B in enterprise software and AI. Average cheque ~US$10m across fund life. Offices in Sydney and the US.,https://kingrivercapital.com/,2026-07-09,https://app.notion.com/p/King-River-Capital-3985de222667811aabbbd79d51be2c7d,investors_public,b703e578-dfca-45a8-adf7-42e7113107b7,King River Capital,https://www.kingriver.co,1.000,5,exact normalised name match (no domain overlap)
Landran Ventures,Funding,Investor,QLD,,,Unspecified,Tech,Female Founders,"Brisbane-based VC founded by women, with a specific focus on backing female founders and closing the gender funding gap. Founded by entrepreneurs with 40+ years combined experience scaling businesses across Australia, NZ, US, UK, and Asia. Provides hands-on operational support.",https://www.landran.vc/,2026-07-09,https://app.notion.com/p/Landran-Ventures-3985de22266781b4a5decc6286075e37,investors_public,be882ff9-3bc4-4f2d-9f9d-0b200b77aa6d,Landran Ventures,https://www.landran.vc,1.000,9,exact normalised name + domain match
LawTech Hub by Lander & Rogers,Programs,Accelerator,National,,Annual intake,Scheduled / Dated,Legal,,"Australia's first lawtech-focused incubator. Legal tech startups get workspace, mentoring, and pilot opportunities with the firm and its clients.",https://www.landers.com.au/legal-innovation/lawtech-hub,2026-07-09,https://app.notion.com/p/LawTech-Hub-by-Lander-Rogers-3985de2226678139b2a5d49b7c406520,service_providers,f5013b6f-245f-4147-9a46-5b1d5063fc90,Lander & Rogers,https://www.landers.com.au,0.800,1,full-host match + name similarity 0.80
LegalVision,Advice,Expert,National,,,Unspecified,,,Membership-based legal services for startups and SMEs. Unlimited legal advice subscription model with startup-specialist lawyers.,https://legalvision.com.au/,2026-07-09,https://app.notion.com/p/LegalVision-3985de22266781b6a578ce6828bbc672,service_providers,fee04d7c-3acd-4704-aafe-769fbcb35122,LegalVision,https://legalvision.com.au,1.000,1,exact normalised name + domain match
Light Warrior Group,Funding,Investor,VIC,,,Unspecified,HealthTech,,"Melbourne investment firm founded by Radek Sali (ex-Swisse CEO). Invests in health, wellness, and purpose-driven consumer brands.",https://lightwarrior.com/,2026-07-09,https://app.notion.com/p/Light-Warrior-Group-3985de2226678139ad29f7908e915488,investors_public,40adb5e2-628b-4121-a2b5-ee9c4104227c,Light Warrior Group,https://lightwarrior.com/,1.000,1,exact normalised name + domain match
Macdoch Ventures,Funding,Investor,National,$500k - $750k,,Unspecified,AgTech,,"Family office VC investing $500k–$750k first cheques in Australian agtech, climate, and media startups. Patient capital with follow-on capacity.",https://macdoch.com/,2026-07-09,https://app.notion.com/p/Macdoch-Ventures-3985de222667816697bfd4633fa5435b,investors_public,10cacfcc-f6ba-40f1-aa69-eadd1ecec205,Macdoch Ventures,https://macdochventures.com/,1.000,10,exact normalised name match (no domain overlap)
Macquarie Capital,Funding,Investor,National,,,Unspecified,SaaS; Cybersecurity,,"Macquarie Group's advisory and principal investment arm. Venture investments in enterprise software and cybersecurity at growth stages, alongside M&A advisory.",https://www.macquarie.com/au/en/what-we-offer/capital-markets.html,2026-07-09,https://app.notion.com/p/Macquarie-Capital-3985de22266781f89380da6c35d16f8e,investors_public,46031cfd-7fe2-4423-b98e-f86772555e65,Macquarie Group,https://www.macquarie.com/au/en/about/company/macquarie-capital/venture-capital.html,0.688,6,full-host match + name similarity 0.69
Macquarie University Incubator,Programs,University,NSW,,,Unspecified,,,"Sydney university incubator with dedicated building. Programs for students, staff, and external founders including CSIRO ON partnership.",https://www.mq.edu.au/,2026-07-09,https://app.notion.com/p/Macquarie-University-Incubator-3985de22266781a58910ea1ed58c185f,innovation_ecosystem,d0a97ad2-7866-40f1-8379-be7fd5d96e43,Macquarie University Incubator,https://www.mq.edu.au/partner/access-business-opportunities/innovation-entrepreneurship-and-it/incubator,1.000,1,exact normalised name + domain match
MAI Capital,Funding,Investor,VIC,,,Unspecified,Tech,,Melbourne-based investment firm. Limited public information on mandate and cheque size — verify before engaging.,https://www.maicapital.com.au/,2026-07-09,https://app.notion.com/p/MAI-Capital-3985de2226678179a67bc0f4108270dc,investors_public,35749c98-14bb-4881-9664-a3910095c61e,Mai Capital,https://www.maicapital.com,1.000,14,exact normalised name match (no domain overlap)
Mandalay Venture Partners,Funding,Investor,QLD,,,Unspecified,AgTech; FoodTech,,Brisbane-based VC fund exclusively focused on agrifood technology. Invests from Seed to Series A in Australian farm-to-fork businesses with global scaling potential. Backed by the Queensland Venture Capital Development Fund. Requires demonstrated sustainable practices and high return potential.,https://www.mandalay.vc/,2026-07-09,https://app.notion.com/p/Mandalay-Venture-Partners-3985de22266781a48a6ac169cc2d7a9c,investors_public,37a06c36-48dc-4b47-9284-12de1ce36f6d,Mandalay Venture Partners,https://www.mandalay.vc,1.000,2,exact normalised name + domain match
Marbruck Investments,Funding,Investor,National,,,Unspecified,Tech,,Private investment firm backing Australian technology ventures. Limited public information on current mandate.,https://www.marbruck.com/,2026-07-09,https://app.notion.com/p/Marbruck-Investments-3985de22266781a4a286c8a0be19f0c7,investors_public,479db27b-33ed-447b-9873-ab99c1002944,Marbruck Investments,https://www.marbruck.com,1.000,4,exact normalised name + domain match
Marshall Investments,Funding,Investor,National,,,Unspecified,Tech,,"Sydney family office investing across property, credit, and venture. Technology investments on opportunistic basis.",https://www.marshall.com.au/,2026-07-09,https://app.notion.com/p/Marshall-Investments-3985de22266781ea961bc1b0decf2cda,investors_public,bd1dae8e-cd55-4294-9346-95d9beb8f988,Marshall Investments,https://www.marshall.com.au,1.000,3,exact normalised name + domain match
MassMutual Ventures,Funding,Investor,National,$3m - $27m,,Unspecified,SaaS; FinTech; HealthTech; CleanTech,,"Global corporate VC of MassMutual insurance investing US$3m–$27m at Series A through C. Sectors: enterprise SaaS, fintech, digital health, and climate tech across Asia-Pacific including Australia.",https://www.massmutualventures.com/,2026-07-09,https://app.notion.com/p/MassMutual-Ventures-3985de22266781fc94aafc0264b2178a,investors_public,42e45c11-a44f-4227-86f1-0e2d00d91ea2,MassMutual Ventures,https://massmutualventures.com,1.000,4,exact normalised name + domain match
MedTech Actuator,Programs,Accelerator,National,Up to 3 million,March intake,Scheduled / Dated,BioTech; HealthTech,,Asia-Pacific's leading medtech accelerator. 15-month program from Melbourne with up to $3M investment pathway for medical device and healthtech startups.,https://www.medtechactuator.com/,2026-07-09,https://app.notion.com/p/MedTech-Actuator-3985de22266781f5a4fcd6efc8c34803,innovation_ecosystem,c88ae077-1955-4fab-823e-d9ccdbb03c53,MedTech Actuator,https://www.medtechactuator.com,1.000,1,exact normalised name + domain match
Melbourne Accelerator Program (MAP),Programs,Accelerator,VIC,"20,000 (equity-free)",2026: applications closed 14 Jun; program 28 Jul – 24 Oct 2026,Scheduled / Dated,Tech; HealthTech; CleanTech,,"University of Melbourne's flagship accelerator ranked in global top 10 university programs. $20K equity-free, mentoring, and access to alumni network of 200+ startups.",https://www.unimelb.edu.au/mec/MECPrograms/melbourne-accelerator-program,2026-07-09,https://app.notion.com/p/Melbourne-Accelerator-Program-MAP-3985de2226678139a0cbf363466c7adc,innovation_ecosystem,2db8d13c-6c81-44de-b19f-1a10129813e2,Melbourne Accelerator Program (MAP),https://www.map.melbourne.edu.au,1.000,3,exact normalised name match (no domain overlap)
Melbourne Accelerator Program (MAP) Cyber,Programs,Accelerator,VIC,"$20,000 equity-free (MAP Accelerator)",2026: applications closed 14 Jun; program 28 Jul – 24 Oct 2026,Scheduled / Dated,Cybersecurity; Tech,,MAP's dedicated cybersecurity stream supporting cyber startups with specialised mentoring and industry connections.,https://www.unimelb.edu.au/mec/MECPrograms/melbourne-accelerator-program,2026-07-09,https://app.notion.com/p/Melbourne-Accelerator-Program-MAP-Cyber-3985de22266781f38033c6b5a257c687,innovation_ecosystem,2db8d13c-6c81-44de-b19f-1a10129813e2,Melbourne Accelerator Program (MAP),https://www.map.melbourne.edu.au,0.917,1,high name similarity 0.92 (no domain data overlap)
