Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Scraped,Notion page URL
Overnight Success,Advice,Expert,National,,,Unspecified,,,Startup media and podcast platform sharing Australian founder stories and practical startup lessons.,https://www.overnightsuccess.vc/,2026-07-09,https://app.notion.com/p/Overnight-Success-3985de22266781eabcf0e1ae94a97c0d
Pacific Channel,Funding,Investor,National,"1,000,000 - 10,000,000",,Unspecified,DeepTech; HealthTech; CleanTech,,"NZ-based deep tech VC investing NZ$1m–$10m in science-backed ventures: health, climate, and advanced materials. Active across Australasia.",https://www.pacificchannel.com/,2026-07-09,https://app.notion.com/p/Pacific-Channel-3985de22266781049885d8b57ad6118d
Pitchberry,Advice,Tool,National,,,Unspecified,,,Platform connecting startups with investors through structured pitch materials and warm introductions.,https://pitchberry.ai/,2026-07-09,https://app.notion.com/p/Pitchberry-3985de222667812a96eafd36beebbd6e
Pozible,Funding,Investor,National,"1,000 - 500,000",Apply anytime,Open / Rolling,Tech,,Australian crowdfunding platform for creative projects and community ventures. Rewards-based campaigns.,https://www.pozible.com/,2026-07-09,https://app.notion.com/p/Pozible-3985de222667813abeddf691c7f0b94a
Pride in Diversity,Connections,Community,National,,,Unspecified,,LGBTQ+,Australia's national employer support program for LGBTQ+ workplace inclusion. AWEI benchmarking and workplace programs.,https://www.prideinclusionprograms.com.au/,2026-07-09,https://app.notion.com/p/Pride-in-Diversity-3985de2226678165a3dbf842261d0838
Queensland Accelerating Female Founders Program,Funding,Grant,QLD,"50,000 - 200,000",Open,Open / Rolling,,Women,Queensland Government grants $50K-$200K for women-led startups plus capability programs. Part of Advance Queensland.,https://www.business.qld.gov.au/,2026-07-09,https://app.notion.com/p/Queensland-Accelerating-Female-Founders-Program-3985de2226678175a385f379c9d98a5e
Queensland Female Founders Co-Investment Fund,Funding,Grant,QLD,"50,000 - 200,000",Open until allocated,Open / Rolling,,Women,Co-investment matching private investment $50K-$200K into Queensland women-founded startups.,https://www.business.qld.gov.au/,2026-07-09,https://app.notion.com/p/Queensland-Female-Founders-Co-Investment-Fund-3985de22266781ad81a3cdbda926385d
Queensland Government Grants Finder,Advice,Tool,QLD,,Always open,Open / Rolling,,,"Searchable directory of Queensland Government grants and programs for business, community, and individuals.",https://www.business.qld.gov.au/,2026-07-09,https://app.notion.com/p/Queensland-Government-Grants-Finder-3985de222667812d976afb98cf36ce44
QUT bluebox,Programs,University,QLD,,,Unspecified,,,"QUT's innovation hub and startup programs. Bluebox Accelerator, student programs, and research commercialisation support.",https://www.qut.edu.au/bluebox,2026-07-09,https://app.notion.com/p/QUT-bluebox-3985de222667818b84afc80891fb0e56
REACH Australia and New Zealand,Funding,Investor,QLD,,,Unspecified,Tech,,Global proptech growth program (Second Century Ventures / NAR) supporting real estate technology companies scaling in ANZ.,https://www.reach.vc/,2026-07-09,https://app.notion.com/p/REACH-Australia-and-New-Zealand-3985de2226678144a2fbd01d9f562d2a
Regional Accelerator Network,Connections,Community,National,,,Unspecified,,Regional,Network connecting regional Australian founders with accelerator programs and startup support outside capital cities.,https://getsova.com.au/directory.html,2026-07-09,https://app.notion.com/p/Regional-Accelerator-Network-3985de2226678159844cd80cbb5a8e28
Regional Development Australia,Advice,Government,National,,,Unspecified,,Regional,Federal network of regional committees supporting economic development including regional entrepreneurship programs.,https://www.rda.gov.au/,2026-07-09,https://app.notion.com/p/Regional-Development-Australia-3985de22266781f69e00e4713caff3d4
Regional Tech Hub,Connections,Community,National,,,Unspecified,Tech,Regional,Free advice on digital connectivity for regional Australians — relevant for regional founders needing connectivity solutions.,https://www.regionaltechhub.org.au/,2026-07-09,https://app.notion.com/p/Regional-Tech-Hub-3985de2226678118b7cfd7ddc2665f8c
RSL DefenceCare,Advice,Expert,National,,,Unspecified,,Veterans,Supports veterans and families including employment and small business transition assistance.,https://www.rsldefencecare.org.au/,2026-07-09,https://app.notion.com/p/RSL-DefenceCare-3985de22266781408edfcd0eccf09c09
SA Startup Ecosystem,Advice,Government,SA,,,Unspecified,,,South Australia's startup support landscape anchored by Lot Fourteen precinct and the SA Venture Capital Fund.,https://statedevelopment.sa.gov.au/startup-ecosystem,2026-07-09,https://app.notion.com/p/SA-Startup-Ecosystem-3985de22266781268ec7c085c5e4e247
SCORE Mentoring,Advice,Expert,National,,,Unspecified,,,Volunteer business mentoring network. Free mentoring sessions for small business owners and founders.,https://www.score.org/,2026-07-09,https://app.notion.com/p/SCORE-Mentoring-3985de22266781e48505c72f3efbd749
ScotPac,Funding,Investor,National,,Apply anytime,Open / Rolling,FinTech,,"SME lender providing invoice finance, trade finance, and asset finance. Australia's largest non-bank SME lender.",https://www.scotpac.com.au/,2026-07-09,https://app.notion.com/p/ScotPac-3985de22266781a0bfb1c70773d015c3
Self-Employment Assistance,Programs,Program,National,,Always open,Open / Rolling,,,"Free federal program helping eligible job seekers start a business. Training, business plan support, and 12 months of mentoring. Small business coaching available.",https://www.employment.gov.au/self-employment-assistance,2026-07-09,https://app.notion.com/p/Self-Employment-Assistance-3985de222667815bad19e6fa57d7da7f
Service Tasmania Business Grants Finder,Advice,Tool,TAS,,Always open,Open / Rolling,,,Tasmanian Government's directory of grants and support programs for Tasmanian businesses.,https://www.service.tas.gov.au/,2026-07-09,https://app.notion.com/p/Service-Tasmania-Business-Grants-Finder-3985de22266781e6baf0e362ca854253
Smart50 Awards,Funding,Competition,National,"15,000",2026 entries open now; close ~Sep 2026; awards Nov 2026,Scheduled / Dated,Tech,,SmartCompany's annual awards for Australia's fastest-growing SMEs. Categories include innovation and emerging entrepreneur.,https://smart50awards.com.au/,2026-07-09,https://app.notion.com/p/Smart50-Awards-3985de2226678139883fc07ef8d4b655
SMEC AI (National AI Adopt Centre),Advice,Government,VIC,,,Unspecified,AI; Tech,,"Commonwealth-backed SME AI adoption program providing assessments, roadmaps, and implementation support for small businesses adopting AI.",https://www.smecai.au/,2026-07-09,https://app.notion.com/p/SMEC-AI-National-AI-Adopt-Centre-3985de22266781dc9bc7f2485f5fa17b
Soldier On,Connections,Community,National,,,Unspecified,,Veterans,Veteran support organisation with employment programs and pathways for veteran entrepreneurs.,https://www.soldieron.org.au/,2026-07-09,https://app.notion.com/p/Soldier-On-3985de2226678113b8fce33080eb5750
SOUTHSTART,Connections,Community,SA,,17-19 Mar 2026,Scheduled / Dated,,,"Australia's boldest startup festival in Adelaide. Three days of talks, connection sessions, and ecosystem gatherings.",https://www.southstart.co/,2026-07-09,https://app.notion.com/p/SOUTHSTART-3985de22266781bfb04fe2dcfb81362f
Sova,Advice,Tool,National,,,Unspecified,,,"This directory. Curated database of 470+ Australian founder programs, funding sources, and startup resources, updated regularly.",https://getsova.com.au/,2026-07-09,https://app.notion.com/p/Sova-3985de22266781de953fc44bafa5dbfa
Spark Festival,Connections,Community,NSW,,Oct-Nov 2026 (dates TBA),Scheduled / Dated,,,"Australia's largest event for startups, innovators, and entrepreneurs. Hundreds of events across NSW celebrating startup ecosystem.",https://www.sparkfestival.com.au/,2026-07-09,https://app.notion.com/p/Spark-Festival-3985de2226678191ab7eee4402795dc5
Sprintlaw,Advice,Expert,National,,,Unspecified,,,"Online law firm for startups and small businesses. Fixed-fee legal packages, contracts, and business structuring delivered digitally.",https://sprintlaw.com.au/,2026-07-09,https://app.notion.com/p/Sprintlaw-3985de222667815896bdc029a6fc0c90
Spruson & Ferguson,Advice,Expert,National,,,Unspecified,,,"Leading IP firm across Asia-Pacific. Patents, trademarks, and IP strategy for startups through to multinationals.",https://www.spruson.com/,2026-07-09,https://app.notion.com/p/Spruson-Ferguson-3985de22266781b9876fea0574410431
StartCon,Connections,Community,NSW,,Inactive since 2019,Inactive,,,INACTIVE. Formerly Australia's largest startup conference. No events since 2019 after Freelancer acquisition wound down.,https://startcon.com/,2026-07-09,https://app.notion.com/p/StartCon-3985de222667813d9e70f1e8361970ab
StartCon - Pitch for $1 Million,Funding,Competition,National,1 million,Inactive since 2019,Inactive,Tech,,INACTIVE. Former pitch competition awarding $1M investment at StartCon conference. No longer running.,https://startcon.com/,2026-07-09,https://app.notion.com/p/StartCon-Pitch-for-1-Million-3985de222667817191c0d1b993d38a40
Startup & Angels,Funding,Investor,National,,,Unspecified,Tech,,Networking event series connecting startups and angel investors across Australia and Asia-Pacific.,https://www.startupandangels.com/,2026-07-09,https://app.notion.com/p/Startup-Angels-3985de2226678153bec5f6dcc19f1928
Startup 2 Scaleup Summit (S2S),Connections,Community,NSW,,August,Scheduled / Dated,,,Annual Sydney summit for founders scaling startups. Practical growth content and investor connections.,https://www.s2ssummit.com/,2026-07-09,https://app.notion.com/p/Startup-2-Scaleup-Summit-S2S-3985de2226678112bcb0c909dcfb92fd
Startup Daily,Advice,Expert,National,,,Unspecified,,,"Australia's leading startup news publication covering funding rounds, ecosystem news, and founder stories daily.",https://www.startupdaily.net/,2026-07-09,https://app.notion.com/p/Startup-Daily-3985de222667812ea236ceb415532ccc
Startup Grind,Connections,Community,National,,,Unspecified,,,Global startup community with Australian chapters. Monthly fireside chats with successful founders and investors.,https://www.startupgrind.com/,2026-07-09,https://app.notion.com/p/Startup-Grind-3985de222667813eac44c5a03d8beee9
Startup Muster,Advice,Tool,National,,,Unspecified,,,"Australia's largest startup ecosystem survey providing annual data on founders, funding, and challenges.",https://www.startupmuster.com/,2026-07-09,https://app.notion.com/p/Startup-Muster-3985de2226678113a1b8e8b818155379
Startup News,Advice,Expert,WA,,,Unspecified,,,"WA's startup ecosystem publication covering Perth startup news, events, and founder profiles.",https://startupnews.com.au/,2026-07-09,https://app.notion.com/p/Startup-News-3985de22266781ffab63ea716c0698e4
Startup Tasmania,Connections,Community,TAS,,,Unspecified,,,"Tasmania's startup community organisation. Events, founder support, and ecosystem building across Hobart and Launceston.",https://www.startuptasmania.com/,2026-07-09,https://app.notion.com/p/Startup-Tasmania-3985de22266781fbbda8c76539e02425
Startup Victoria,Advice,Government,VIC,,,Unspecified,Tech,,"Victoria's startup community (now part of LaunchVic ecosystem). Events, founder resources, and Melbourne startup network.",https://startupvictoria.com.au/,2026-07-09,https://app.notion.com/p/Startup-Victoria-3985de222667815b9565f1de8dc7c472
Startup World Cup - Australia,Funding,Competition,National,US$1 million,"Melbourne 22 Jul, Sydney 7 Aug, SF Finals 18-20 Nov 2026",Scheduled / Dated,Tech,,Regional qualifiers feeding into the US$1M global pitch final in San Francisco. Australian rounds in Melbourne and Sydney.,https://www.startupandangels.com/startup-world-cup-australia/,2026-07-09,https://app.notion.com/p/Startup-World-Cup-Australia-3985de222667818a9331e2d4f2b69a90
StartupWA,Connections,Community,WA,,,Unspecified,,,WA's peak startup body advocating for the Perth and regional WA startup ecosystem. Events and ecosystem reports.,https://www.startupwa.org/,2026-07-09,https://app.notion.com/p/StartupWA-3985de22266781f78bb6f277b42b3d8d
Stripe Atlas,Funding,Corporate,National,US$500 one-off incorporation fee,Apply anytime,Open / Rolling,,,"Incorporate a US Delaware company from Australia. Company formation, bank account, and legal templates for global startups.",https://stripe.com/atlas,2026-07-09,https://app.notion.com/p/Stripe-Atlas-3985de22266781c182fcf302c93560de
Student Edge,Connections,Community,National,,,Unspecified,,Youth,Australia's largest student organisation with entrepreneurship resources and youth programs for student founders.,https://www.studentedge.com.au/,2026-07-09,https://app.notion.com/p/Student-Edge-3985de2226678122b27ed0f5476596f8
Supply Nation,Connections,Community,National,,,Unspecified,,Indigenous,Australia's leading database of verified Indigenous businesses. Certification connects Indigenous suppliers with corporate and government buyers.,https://supplynation.org.au/,2026-07-09,https://app.notion.com/p/Supply-Nation-3985de2226678128a0c2e1033b8a965b
Swanson Reed,Advice,Expert,National,,,Unspecified,,,"R&D Tax Incentive specialist advisors. Claim preparation, compliance, and advisory for companies claiming the RDTI.",https://www.swansonreed.com.au/,2026-07-09,https://app.notion.com/p/Swanson-Reed-3985de2226678134a92fc88dfc0d12d6
Switch Start Scale,Connections,Community,SA,,,Unspecified,,,SA startup program series supporting founders from idea (Switch) through launch (Start) to growth (Scale).,https://www.switchstartscale.com.au/,2026-07-09,https://app.notion.com/p/Switch-Start-Scale-3985de222667815aaa9edacea54b7f57
SXSW Sydney,Connections,Community,NSW,,Cancelled,Discontinued,,,DISCONTINUED. SXSW Sydney ran 2023-2025. Event cancelled with no 2026 edition planned.,https://sxswsydney.com/,2026-07-09,https://app.notion.com/p/SXSW-Sydney-3985de222667819e9e6cedf5b4734d3d
SXSW Sydney Pitch,Funding,Competition,NSW,,SXSW Sydney 2026 not proceeding; next edition TBC,Inactive,Tech,,DISCONTINUED. Startup pitch competition at SXSW Sydney. Ended with the event's cancellation.,https://sxswsydney.com/pitch,2026-07-09,https://app.notion.com/p/SXSW-Sydney-Pitch-3985de22266781b3928dfe703cc81312
TAFE NSW Women in Business Program,Programs,Program,NSW,,Always open,Open / Rolling,,Women,Free online program for NSW women starting or growing a business. Self-paced modules with mentoring support.,https://www.tafensw.edu.au/,2026-07-09,https://app.notion.com/p/TAFE-NSW-Women-in-Business-Program-3985de22266781ba972ad596bbaae769
Tasmania Business Growth Loan Scheme,Funding,Grant,TAS,"100,000 - 5 million",Open until Dec 2026,Open / Rolling,,,Tasmanian Government low-interest loans $100K-$5M for business growth projects creating Tasmanian jobs.,https://www.business.tas.gov.au/,2026-07-09,https://app.notion.com/p/Tasmania-Business-Growth-Loan-Scheme-3985de2226678159bae5cfc25d48f4f3
Tasmania Business Growth Programs,Funding,Grant,TAS,,,Unspecified,,,"Suite of Tasmanian Government programs supporting business growth: advisory, digital capability, and market expansion.",https://www.business.tas.gov.au/,2026-07-09,https://app.notion.com/p/Tasmania-Business-Growth-Programs-3985de22266781a09143ee495400fc16
TEC (The Executive Connection),Advice,Expert,National,,,Unspecified,,,"CEO peer advisory network with 1,200+ Australian members. Monthly peer groups and executive coaching for business leaders.",https://www.tec.com.au/,2026-07-09,https://app.notion.com/p/TEC-The-Executive-Connection-3985de22266781ae93bddc74889f5d2f
Tech Central,Connections,Community,NSW,,,Unspecified,Tech,,"Sydney's innovation precinct from Central to Eveleigh. Home to Atlassian HQ, startups, and university partnerships. NSW Government-backed development.",https://techcentral.sydney/,2026-07-09,https://app.notion.com/p/Tech-Central-3985de222667810184bae3e1280829c1
The Entrepreneur Club,Connections,Community,VIC,,Monthly (last Friday),Scheduled / Dated,,,Melbourne founder community with monthly breakfast meetups. Peer support and speaker sessions for entrepreneurs.,https://www.meetup.com/the-entrepreneur-club-melbourne/,2026-07-09,https://app.notion.com/p/The-Entrepreneur-Club-3985de2226678115ae0be23f7d4e4168
The Ethics Centre,Advice,Expert,National,,,Unspecified,,,Not-for-profit promoting ethical decision-making in business including ethics advisory for startups and leaders.,https://ethics.org.au/,2026-07-09,https://app.notion.com/p/The-Ethics-Centre-3985de22266781699d31da5434aa1cc2
The Growth Drivers,Advice,Expert,National,,,Unspecified,,,Growth advisory and content platform for scaling Australian businesses.,https://tgd.global/,2026-07-09,https://app.notion.com/p/The-Growth-Drivers-3985de2226678157a226cf1cf5ca51bf
The Product Bus,Connections,Community,VIC,,,Unspecified,,,Melbourne product management community with events and mentoring for product people and founders.,https://theproductbus.com/,2026-07-09,https://app.notion.com/p/The-Product-Bus-3985de22266781ca9de9ee1e983cd642
The Startup Network,Connections,Community,National,,,Unspecified,,,Australian startup community platform connecting founders through events and online network.,https://thestartupnetwork.com.au/,2026-07-09,https://app.notion.com/p/The-Startup-Network-3985de22266781368e4bfb1d82237ddc
Thrive Refugee Enterprise,Advice,Government,National,"Up to 50,000",,Unspecified,,Migrant,Loans up to $50K and business support for refugees and asylum seekers building businesses in Australia.,https://thriverefugee.com/,2026-07-09,https://app.notion.com/p/Thrive-Refugee-Enterprise-3985de22266781bcbebfec611d2b9309
TiE Women Global Pitch Competition,Funding,Competition,National,"USD $50,000",Closes 15 Jun 2026,Scheduled / Dated,,Women,Global pitch competition for women founders. USD $50K grand prize with regional finals feeding global final.,https://tieglobal.org/,2026-07-09,https://app.notion.com/p/TiE-Women-Global-Pitch-Competition-3985de22266781689291d22f5bdbc9bb
Transition Level Investments,Funding,Investor,National,,Always open,Open / Rolling,Tech,,Private investor backing early-stage Australian technology companies. Patient capital approach.,https://www.transitionlevel.com/,2026-07-09,https://app.notion.com/p/Transition-Level-Investments-3985de22266781578e47dc3f74c4891b
UX Law,Advice,Expert,NSW,,,Unspecified,,,"Boutique technology law firm for startups. Product counsel, privacy, and commercial contracts with UX-informed approach.",https://uxlaw.com.au/,2026-07-09,https://app.notion.com/p/UX-Law-3985de22266781f89058f544a7a7c92d
Victorian CleanTech Cluster,Connections,Community,VIC,,,Unspecified,CleanTech,,"Victoria's cleantech industry network connecting startups, corporates, and researchers in clean economy sectors.",https://www.viccleantech.com.au/,2026-07-09,https://app.notion.com/p/Victorian-CleanTech-Cluster-3985de22266781519772f7d31891a15b
Vitality APAC Climate-Tech Fund I,Funding,Investor,National,,,Unspecified,CleanTech,,Climate-focused fund with limited public information. Unverified entity — verify mandate and legitimacy before engaging.,https://www.vitalitycapitalpartners.com.au/,2026-07-09,https://app.notion.com/p/Vitality-APAC-Climate-Tech-Fund-I-3985de22266781df88b5ecb823b7f044
Wayflyer,Funding,Finance,National,"Up to 20,000,000",Always open,Open / Rolling,FinTech,,"Revenue-based financing for e-commerce brands. Funding from $10K to $20M repaid from sales, no equity or personal guarantees.",https://www.wayflyer.com/,2026-07-09,https://app.notion.com/p/Wayflyer-3985de22266781359c6ef8e938798ad3
Wedgetail,Funding,Investor,National,,Always open,Open / Rolling,CleanTech,,Nature-focused VC investing in biodiversity and natural capital ventures. Backs founders protecting and restoring nature.,https://www.wedgetail.vc/,2026-07-09,https://app.notion.com/p/Wedgetail-3985de22266781be8ecae8d92bb65f10
West Tech Fest,Connections,Community,WA,,December,Scheduled / Dated,Tech,,"WA's biggest tech festival in Perth each December. Global speakers, startup showcases, and ecosystem celebrations.",https://www.westtechfest.com.au/,2026-07-09,https://app.notion.com/p/West-Tech-Fest-3985de22266781a38abefff1e9145267
Western Sydney Launchpad,Programs,University,NSW,,,Unspecified,,,Western Sydney University's entrepreneurship program supporting student and community ventures across Greater Western Sydney.,https://www.westernsydney.edu.au/launch-pad/,2026-07-09,https://app.notion.com/p/Western-Sydney-Launchpad-3985de222667818e9aa3c724eebe61e7
Westpac Businesses of Tomorrow,Funding,Grant,National,"50,000 + mentoring",2026 dates TBA,Scheduled / Dated,,Women,"Westpac's program recognising promising Australian businesses with grants, mentoring, and promotion.",https://www.westpac.com.au/business-banking/,2026-07-09,https://app.notion.com/p/Westpac-Businesses-of-Tomorrow-3985de22266781838713e32a41531db7
WithYouWithMe,Connections,Community,National,,,Unspecified,Tech,Veterans,Tech careers platform for veterans and underrepresented groups. Training and job placement including startup pathways.,https://withyouwithme.com/,2026-07-09,https://app.notion.com/p/WithYouWithMe-3985de22266781ff95e3dce66ca6e5ea
Woolworths W23,Funding,Corporate,National,Multi-million cheques (US$125m W23 Global fund),Always open,Open / Rolling,Retail; AgTech,,"Woolworths' venture arm investing in retail tech, food innovation, and supply chain ventures strategically aligned with the group.",https://www.w23.com.au/,2026-07-09,https://app.notion.com/p/Woolworths-W23-3985de22266781d18be7ceb8dcd0a5e9
Young Change Agents,Connections,Community,National,,,Unspecified,,Youth,Social entrepreneurship programs for young Australians aged 10-18. Design thinking and youth-led venture education.,https://www.youngchangeagents.com.au/,2026-07-09,https://app.notion.com/p/Young-Change-Agents-3985de22266781648315dd2bfb7bb926
