Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Scraped,Notion page URL
Tech Central,Connections,Community,NSW,,,Unspecified,Tech,,"Sydney's innovation precinct from Central to Eveleigh. Home to Atlassian HQ, startups, and university partnerships. NSW Government-backed development.",https://techcentral.sydney/,2026-07-09,https://app.notion.com/p/Tech-Central-3985de222667810184bae3e1280829c1
The Growth Drivers,Advice,Expert,National,,,Unspecified,,,Growth advisory and content platform for scaling Australian businesses.,https://tgd.global/,2026-07-09,https://app.notion.com/p/The-Growth-Drivers-3985de2226678157a226cf1cf5ca51bf
The Product Bus,Connections,Community,VIC,,,Unspecified,,,Melbourne product management community with events and mentoring for product people and founders.,https://theproductbus.com/,2026-07-09,https://app.notion.com/p/The-Product-Bus-3985de22266781ca9de9ee1e983cd642
Thrive Refugee Enterprise,Advice,Government,National,"Up to 50,000",,Unspecified,,Migrant,Loans up to $50K and business support for refugees and asylum seekers building businesses in Australia.,https://thriverefugee.com/,2026-07-09,https://app.notion.com/p/Thrive-Refugee-Enterprise-3985de22266781bcbebfec611d2b9309
UX Law,Advice,Expert,NSW,,,Unspecified,,,"Boutique technology law firm for startups. Product counsel, privacy, and commercial contracts with UX-informed approach.",https://uxlaw.com.au/,2026-07-09,https://app.notion.com/p/UX-Law-3985de22266781f89058f544a7a7c92d
Vitality APAC Climate-Tech Fund I,Funding,Investor,National,,,Unspecified,CleanTech,,Climate-focused fund with limited public information. Unverified entity — verify mandate and legitimacy before engaging.,https://www.vitalitycapitalpartners.com.au/,2026-07-09,https://app.notion.com/p/Vitality-APAC-Climate-Tech-Fund-I-3985de22266781df88b5ecb823b7f044
Wayflyer,Funding,Finance,National,"Up to 20,000,000",Always open,Open / Rolling,FinTech,,"Revenue-based financing for e-commerce brands. Funding from $10K to $20M repaid from sales, no equity or personal guarantees.",https://www.wayflyer.com/,2026-07-09,https://app.notion.com/p/Wayflyer-3985de22266781359c6ef8e938798ad3
Wedgetail,Funding,Investor,National,,Always open,Open / Rolling,CleanTech,,Nature-focused VC investing in biodiversity and natural capital ventures. Backs founders protecting and restoring nature.,https://www.wedgetail.vc/,2026-07-09,https://app.notion.com/p/Wedgetail-3985de22266781be8ecae8d92bb65f10
West Tech Fest,Connections,Community,WA,,December,Scheduled / Dated,Tech,,"WA's biggest tech festival in Perth each December. Global speakers, startup showcases, and ecosystem celebrations.",https://www.westtechfest.com.au/,2026-07-09,https://app.notion.com/p/West-Tech-Fest-3985de22266781a38abefff1e9145267
Westpac Businesses of Tomorrow,Funding,Grant,National,"50,000 + mentoring",2026 dates TBA,Scheduled / Dated,,Women,"Westpac's program recognising promising Australian businesses with grants, mentoring, and promotion.",https://www.westpac.com.au/business-banking/,2026-07-09,https://app.notion.com/p/Westpac-Businesses-of-Tomorrow-3985de22266781838713e32a41531db7
WithYouWithMe,Connections,Community,National,,,Unspecified,Tech,Veterans,Tech careers platform for veterans and underrepresented groups. Training and job placement including startup pathways.,https://withyouwithme.com/,2026-07-09,https://app.notion.com/p/WithYouWithMe-3985de22266781ff95e3dce66ca6e5ea
Woolworths W23,Funding,Corporate,National,Multi-million cheques (US$125m W23 Global fund),Always open,Open / Rolling,Retail; AgTech,,"Woolworths' venture arm investing in retail tech, food innovation, and supply chain ventures strategically aligned with the group.",https://www.w23.com.au/,2026-07-09,https://app.notion.com/p/Woolworths-W23-3985de22266781d18be7ceb8dcd0a5e9
Young Change Agents,Connections,Community,National,,,Unspecified,,Youth,Social entrepreneurship programs for young Australians aged 10-18. Design thinking and youth-led venture education.,https://www.youngchangeagents.com.au/,2026-07-09,https://app.notion.com/p/Young-Change-Agents-3985de22266781648315dd2bfb7bb926
